Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,Camera_0044,Camera_0045,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,0,0,51300,0,375744,9282,30975,0,0,2352,28644,0,0,18750,0,0,0,0,0,0,0,0,15744,0,0,0,0,0,0,0,0,0,0,711852,0,0,0,0,0,0,75075,0,0,0,0,2.589343,10.8,1.075566,11,20
0,0,0,748,0,0,1296,2646,0,0,1400,1890,0,0,1260,0,3886,1792,0,0,0,0,2160,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.660699,1.645792,0.314777,7,48
0,0,0,3871,0,0,1066,0,0,0,624,1364,0,0,884,0,5369,1160,0,0,0,0,3096,3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.378596,3.102617,0.314784,8,48
0,0,0,2904,0,0,550,1666,0,0,816,1131,0,0,768,0,6283,0,0,0,0,0,2747,2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.311991,5.255377,0.314783,9,48
0,0,0,2320,0,0,0,736,0,0,736,999,0,0,720,0,7458,0,0,0,0,0,2640,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,-7.26054,6.880388,0.314785,10,48
0,0,0,1998,0,0,0,1230,0,0,480,884,0,0,644,0,1980,0,0,0,0,0,2535,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11252,-7.217949,8.308934,0.314785,11,48
0,0,0,1116,0,0,0,1131,0,0,588,858,0,0,594,0,0,0,0,0,0,0,1922,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7695,-7.171795,9.630939,0.314786,12,48
0,0,0,494,0,0,0,783,0,0,520,650,0,0,462,0,0,0,0,0,0,0,153,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4408,-7.134437,10.877885,0.314784,13,48
0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,24,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4402,-7.092862,12.071002,0.314783,14,48
0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,-7.054518,13.247187,0.314786,15,48
0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,48,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891,-7.020395,14.386665,0.314783,16,48
0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,-6.989955,15.496619,0.314786,17,48
0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,-6.950562,16.610916,0.314785,18,48
0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9718,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-6.908315,17.713973,0.314784,19,48
0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.882591,18.779059,0.314784,20,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,0,0,8778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.843545,19.859185,0.314788,21,48
0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,6664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.810004,20.924291,0.31479,22,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,4930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.786289,21.990691,0.314787,23,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.743735,23.046673,0.314784,24,48
0,0,0,0,0,0,0,0,0,0,75,0,0,923,0,0,0,0,0,2016,0,0,0,0,2067,0,0,0,4875,0,0,3312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.713133,24.094382,0.314784,25,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4690,0,0,0,0,2432,0,0,0,5106,0,0,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.513538,25.177552,0.316752,26,48
0,1104,2744,0,210,304,900,0,936,0,0,0,35,0,17538,247,0,13068,0,0,0,0,0,0,0,10791,0,0,0,0,16,0,0,0,1118,0,0,1352,0,0,0,0,0,0,0,0,-1.292653,-16.73135,0.314789,16,22
0,624,3619,0,0,648,1440,0,999,0,0,0,616,0,12400,0,0,9309,0,0,0,0,0,0,0,15120,0,0,0,0,368,0,0,0,1015,0,0,2728,0,0,0,0,0,0,0,0,-1.304135,-15.94247,0.314782,15,22
0,648,3542,0,0,696,1363,0,729,0,0,0,720,0,8944,484,0,7410,0,0,0,0,0,0,0,18975,0,0,0,5655,1326,0,0,0,1110,0,0,2970,0,0,0,0,0,0,0,0,-1.628502,-14.898677,0.314786,14,22
0,672,2775,0,0,800,1363,0,928,0,0,0,744,0,6536,594,0,5976,0,0,0,0,0,0,0,23940,0,0,0,10058,1505,0,0,0,280,0,0,3312,0,0,0,0,0,0,0,0,-1.937018,-13.864764,0.314789,13,22
0,750,3150,0,0,832,1204,0,420,0,0,2449,858,0,5304,440,0,5070,0,0,0,0,0,0,0,20864,0,0,0,8272,1628,0,0,0,1353,0,0,3700,0,0,0,0,0,0,0,0,-2.285808,-12.795384,0.314783,12,22
0,868,2772,0,0,918,1288,0,1344,0,0,14800,918,0,3720,696,0,3721,0,0,0,0,0,0,0,0,0,0,0,14916,1872,0,0,0,1610,0,0,4160,0,0,0,0,0,0,0,0,-2.619132,-11.709718,0.31479,11,22
0,744,3182,0,0,1044,1288,0,1551,0,0,6786,638,0,3416,800,0,3696,0,0,0,0,0,0,0,0,0,0,0,18923,2184,0,0,0,1900,0,0,4644,0,0,0,0,0,0,0,0,-2.978153,-10.5864,0.314784,10,22
