Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,x_position,y_position,z_position,unit_distance_from_origin,unit_id
4956,2204,3818,6080,0,0,0,0,0,0,0,0,-0.131134,-12.862814,0.314785,12,233
4840,3384,3876,5900,5355,0,0,0,0,0,0,0,0.6771,-12.996304,0.314788,13,233
5162,3220,3400,6283,4503,0,0,0,0,0,0,0,0.367123,-14.000083,0.314783,14,233
5428,3128,2745,6360,3888,0,0,0,0,0,0,0,0.044009,-15.008453,0.314783,15,233
5795,3060,2394,5757,3366,0,0,0,0,0,0,0,-0.244321,-16.005673,0.314798,16,233
6363,2948,2028,144,2989,0,0,0,0,0,0,0,-0.560954,-16.999356,0.314784,17,233
7303,2838,1862,0,2668,0,0,0,0,0,0,0,-0.883537,-17.982632,0.314789,18,233
7081,2898,5440,7102,6650,0,0,0,0,0,0,0,-0.583439,-11.98087,0.314785,11,233
6499,3139,6365,6760,8162,0,0,5880,0,0,0,0,-0.101719,-10.996869,0.314796,10,233
6405,3431,10528,7777,6160,16350,0,4160,0,0,0,0,-0.033586,-9.988234,0.314788,9,233
7788,2622,10192,8132,7500,19656,0,0,0,2666,0,0,-0.520718,-8.980074,0.314785,8,233
12183,2596,1978,0,2596,0,0,0,0,0,0,0,-1.865218,-18.918153,0.314784,19,233
0,0,0,10950,10275,12155,0,5050,17250,0,0,0,-4.704164,-7.495496,0.314777,8,336
0,0,0,12549,0,10062,0,6966,14784,0,0,0,-4.048178,-6.899148,0.314774,7,336
0,574,0,18868,13464,7938,0,0,0,0,0,0,-5.441105,-7.179902,0.314792,9,336
0,1560,0,14170,8550,0,0,0,23310,0,0,0,-5.353201,-8.447202,0.314769,10,336
40068,6882,28231,23868,0,48618,0,0,0,0,0,0,-1.773227,-9.133778,0.13238,9,335
10458,0,0,0,0,0,0,5400,0,0,45292,12870,7.126056,-7.824059,0.908414,10,237
11622,7220,34572,702,0,0,0,6068,0,0,34056,25192,6.485405,-8.920095,0.900073,11,237
8316,25519,34965,126,0,0,0,9280,0,0,14036,24347,7.007883,-9.766858,0.895497,12,237
