Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,Camera_0042,Camera_0043,Camera_0044,Camera_0045,x_position,y_position,z_position,unit_distance_from_origin,unit_id
0,13095,0,128,0,0,0,0,0,0,0,0,13192,0,600,2928,0,0,0,1920,0,0,0,9796,0,0,2108,0,2160,0,22912,0,0,0,12040,19040,0,0,5600,2016,0,0,0,0,0,0,-4.186973,10.666906,0.314777,11,16
0,4624,0,1496,0,0,0,0,0,15128,0,0,11160,0,2,2924,0,0,0,1443,0,0,0,8500,0,0,1960,0,3564,0,22499,0,0,0,9701,407,0,0,4158,2170,0,0,0,0,0,0,-3.933724,10.260257,0.314783,10,16
0,5427,0,696,0,0,0,0,0,10692,0,0,4661,0,1680,1794,0,0,0,3848,0,0,0,5796,0,0,924,0,4104,0,13,0,0,0,14112,0,5015,0,4473,2394,0,0,0,0,0,0,-3.905418,9.193358,0.314804,9,16
0,0,0,1376,0,0,0,0,0,8460,0,306,7575,0,0,2856,0,0,0,3403,0,0,0,0,0,0,3311,0,0,0,0,0,0,0,20196,0,0,0,5236,2747,0,0,0,0,0,0,-3.8512,8.126841,0.314784,8,16
0,0,0,1938,0,0,0,0,0,6804,0,0,6440,0,44,2856,0,0,0,3432,0,0,0,15544,0,4408,2835,0,0,0,0,0,0,0,2997,0,3008,0,1035,3225,0,0,0,0,0,0,-3.807448,7.020714,0.314782,7,16
112,4544,0,2120,0,0,0,0,0,5475,0,564,5525,0,0,2706,0,0,0,1679,0,0,0,20043,0,15930,5194,0,0,0,0,0,0,0,0,0,21504,0,0,0,0,0,0,0,0,0,-3.763802,5.899073,0.314786,6,16
2809,4080,0,0,0,0,0,0,0,78,0,2132,0,0,0,2706,0,0,0,1890,0,0,0,27512,0,19812,2666,0,3621,0,0,6435,0,0,0,0,26884,0,9374,4770,0,0,0,0,0,0,-3.718335,4.700604,0.314782,5,16
2256,0,0,2160,0,0,0,0,0,3599,0,3705,3685,0,1204,420,0,0,0,0,0,0,0,7584,0,8787,0,0,6161,0,0,12995,0,0,0,0,35520,0,15867,3008,0,0,0,0,0,51997,-3.669887,3.394962,0.314784,4,16
0,0,0,3168,0,0,0,0,0,0,0,0,3315,0,1702,0,0,0,0,570,0,0,0,0,0,8700,0,0,10350,0,0,9100,0,0,0,0,51216,0,26880,6206,0,0,0,0,0,33600,-3.609108,1.711016,0.314785,3,16
0,994,0,0,0,0,0,0,0,12648,0,0,11537,0,837,6120,0,0,70,7208,0,0,19800,0,0,0,16,0,0,0,16958,0,0,0,5934,7998,5103,0,0,0,0,0,0,0,18720,0,-1.63885,11.899757,0.314789,12,16
