Camera_0000,Camera_0001,Camera_0002,Camera_0003,Camera_0004,Camera_0005,Camera_0006,Camera_0007,Camera_0008,Camera_0009,Camera_0010,Camera_0011,Camera_0012,Camera_0013,Camera_0014,Camera_0015,Camera_0016,Camera_0017,Camera_0018,Camera_0019,Camera_0020,Camera_0021,Camera_0022,Camera_0023,Camera_0024,Camera_0025,Camera_0026,Camera_0027,Camera_0028,Camera_0029,Camera_0030,Camera_0031,Camera_0032,Camera_0033,Camera_0034,Camera_0035,Camera_0036,Camera_0037,Camera_0038,Camera_0039,Camera_0040,Camera_0041,x_position,y_position,z_position,unit_distance_from_origin,unit_id
1518,0,8687,0,0,0,2280,0,2275,0,0,0,0,1598,0,0,891,0,0,0,0,0,0,2340,1,0,0,0,41208,0,0,0,8280,0,0,0,54832,0,0,0,22059,0,3.1568450071371057,7.8143404965364205,0.3147883980820036,8,41
810,0,9120,0,0,0,1849,0,2100,0,0,0,6324,899,0,0,0,0,0,0,0,0,0,2200,2340,0,0,0,3456,0,0,0,0,0,0,0,18732,0,0,0,21504,0,3.964379643375944,6.948407874236857,0.31478588998978707,7,41
1540,0,25652,0,0,0,3504,0,0,0,0,0,6695,1596,0,0,1344,0,10764,0,840,0,12814,0,3068,0,15744,0,0,0,18550,0,0,0,20292,0,0,0,22320,0,0,0,5.923240737336847,3.729732851157446,0.3147615239431085,6,41
800,0,3900,0,0,0,962,0,16,0,0,0,0,1120,0,0,0,0,0,0,1332,0,0,495,1190,0,0,0,28656,0,0,0,0,0,0,0,8550,0,0,0,12500,1220,1.8520925771766266,8.816653008438864,0.3147851603900413,9,41
0,0,3392,0,0,0,300,0,820,0,0,0,0,0,0,0,0,0,0,0,1122,12730,0,1218,621,12056,0,0,17400,12232,0,0,128,8256,0,0,16625,15900,0,0,9856,13064,1.7031200732005787,9.866119157026898,0.3147834390856311,10,41
42,0,3009,0,0,0,924,0,5073,0,0,0,0,0,0,0,0,0,0,0,800,15416,0,5684,800,12284,0,0,14111,12495,0,0,0,19928,0,0,7992,17300,0,0,4176,7350,1.5601167953611839,10.901178679009648,0.3147814668478609,11,41
0,0,11187,0,0,928,3055,0,290,0,0,0,5160,0,0,0,4929,0,0,0,2679,0,0,1100,2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5799888610323665,5.412332430195859,0.314784276608055,5,41
0,0,93,0,0,0,575,0,7560,0,0,0,0,0,0,0,0,0,0,0,90,13590,0,8214,340,11928,0,0,9944,11340,0,0,0,17271,0,0,6624,6675,0,0,1920,12282,1.0522008775641314,11.95619603201074,0.3147934501119114,12,41
0,0,3360,0,8100,0,1392,0,2898,0,0,0,0,0,0,0,0,0,0,0,273,12707,0,3038,580,11748,0,0,7007,11440,0,0,0,15876,0,0,9322,13152,0,0,4836,12880,0.7245865550554139,12.980392598004284,0.31476176838020026,13,41
8174,0,0,0,0,3212,0,0,0,0,0,5208,0,0,0,0,0,0,0,0,1598,0,0,3564,3626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.744780701700442,-0.1703929858443607,0.3147771259434422,4,29
